Subj.Trial,Rating,Enumerated
4.16,Right,0
4.17,Right,0
4.18,Left,1
4.19,Right,0
4.2,Right,0
4.21,Right,0
4.22,Right,0
4.23,Left,1
4.24,Right,0
4.25,Left,1
4.26,Right,0
4.27,Right,0
4.28,Left,1
4.29,Right,0
4.3,Right,0
4.31,Left,1
4.32,Left,1
4.33,Left,1
4.34,Left,1
4.35,Right,0
4.36,Right,0
4.37,Right,0
4.38,Left,1
4.39,Left,1
4.4,Right,0
4.41,Left,1
4.42,Right,0
4.43,Right,0
4.44,Left,1
4.45,Left,1
4.46,Right,0
4.47,Right,0
4.48,Right,0
4.49,Left,1
4.5,Right,0
4.51,Right,0
4.52,Left,1
4.53,Right,0
4.54,Right,0
4.55,Right,0
4.56,Right,0
4.57,Right,0
4.58,Right,0
4.59,Left,1
4.6,Left,1
5.01,Left,1
5.02,Right,0
5.03,Left,1
5.04,Right,0
5.05,Right,0
5.06,Right,0
5.07,Right,0
5.08,Right,0
5.09,Left,1
5.1,Left,1
5.11,Right,0
5.12,Right,0
5.13,Left,1
5.14,Right,0
5.15,Left,1
5.16,Left,1
5.17,Right,0
5.18,Left,1
5.19,Left,1
5.2,Left,1
5.21,Left,1
5.22,Left,1
5.23,Right,0
5.24,Right,0
5.25,Left,1
5.26,Right,0
5.27,Left,1
5.28,Right,0
5.29,Left,1
5.3,Right,0
5.31,Left,1
5.32,Right,0
5.33,Right,0
5.34,Left,1
5.35,Left,1
5.36,Right,0
5.37,Left,1
5.38,Left,1
5.39,Right,0
5.4,Left,1
5.41,Left,1
5.42,Right,0
5.43,Left,1
5.44,Left,1
5.45,Right,0
5.46,Left,1
5.47,Left,1
5.48,Right,0
5.49,Right,0
5.5,Right,0
5.51,Left,1
5.52,Right,0
5.53,Right,0
5.54,Right,0
5.55,Left,1
5.56,Right,0
5.57,Left,1
5.58,Left,1
5.59,Left,1
5.6,Right,0
6.01,Right,0
6.02,Right,0
6.03,Right,0
6.04,Left,1
6.05,Right,0
6.06,Right,0
6.07,Right,0
6.08,Right,0
6.09,Right,0
6.1,Right,0
6.11,Right,0
6.12,Left,1
6.13,Right,0
6.14,Right,0
6.15,Right,0
6.16,Left,1
6.17,Right,0
6.18,Left,1
6.19,Left,1
6.2,Right,0
6.21,Left,1
6.22,Right,0
6.23,Right,0
6.24,Left,1
6.25,Right,0
6.26,Right,0
6.27,Left,1
6.28,Right,0
6.29,Right,0
6.3,Left,1
6.31,Right,0
6.32,Left,1
6.33,Left,1
6.34,Right,0
6.35,Left,1
6.36,Left,1
6.37,Left,1
6.38,Right,0
6.39,Right,0
6.4,Left,1
6.41,Left,1
6.42,Right,0
6.43,Left,1
6.44,Right,0
6.45,Left,1
6.46,Right,0
6.47,Right,0
6.48,Right,0
6.49,Right,0
6.5,Right,0
6.51,Left,1
6.52,Left,1
6.53,Right,0
6.54,Right,0
6.55,Left,1
6.56,Left,1
6.57,Left,1
6.58,Right,0
6.59,Left,1
6.6,Left,1
7.01,Right,0
7.02,Left,1
7.03,Left,1
7.04,Right,0
7.05,Right,0
7.06,Right,0
7.07,Left,1
7.08,Right,0
7.09,Left,1
7.1,Left,1
7.11,Right,0
7.12,Right,0
7.13,Left,1
7.14,Right,0
7.15,Right,0
7.16,Left,1
7.17,Right,0
7.18,Right,0
7.19,Right,0
7.2,Right,0
7.21,Left,1
7.22,Right,0
7.23,Left,1
7.24,Right,0
7.25,Left,1
7.26,Left,1
7.27,Right,0
7.28,Right,0
7.29,Right,0
7.3,Right,0
7.31,Left,1
7.32,Left,1
7.33,Right,0
7.34,Left,1
7.35,Left,1
7.36,Left,1
7.37,Left,1
7.38,Right,0
7.39,Left,1
7.4,Left,1
7.41,Left,1
7.42,Left,1
7.43,Right,0
7.44,Right,0
7.45,Left,1
7.46,Right,0
7.47,Right,0
7.48,Right,0
7.49,Left,1
7.5,Right,0
7.51,Left,1
7.52,Left,1
7.53,Right,0
7.54,Right,0
7.55,Right,0
7.56,Left,1
7.57,Left,1
7.58,Right,0
7.59,Left,1
7.6,Left,1
8.01,Left,1
8.02,Right,0
8.03,Left,1
8.04,Left,1
8.05,Right,0
8.06,Left,1
8.07,Left,1
8.08,Right,0
8.09,Left,1
8.1,Left,1
8.11,Left,1
8.12,Right,0
8.13,Right,0
8.14,Right,0
8.15,Left,1
8.16,Left,1
8.17,Right,0
8.18,Right,0
8.19,Left,1
8.2,Right,0
8.21,Left,1
8.22,Left,1
8.23,Left,1
8.24,Left,1
8.25,Right,0
8.26,Left,1
8.27,Left,1
8.28,Left,1
8.29,Right,0
8.3,Right,0
8.31,Right,0
8.32,Left,1
8.33,Right,0
8.34,Right,0
8.35,Left,1
8.36,Right,0
8.37,Right,0
8.38,Right,0
8.39,Right,0
8.4,Left,1
8.41,Left,1
8.42,Right,0
8.43,Left,1
8.44,Left,1
8.45,Right,0
8.46,Left,1
8.47,Right,0
8.48,Left,1
8.49,Left,1
8.5,Right,0
8.51,Right,0
8.52,Right,0
8.53,Right,0
8.54,Right,0
8.55,Left,1
8.56,Left,1
8.57,Left,1
8.58,Left,1
8.59,Right,0
8.6,Right,0
9.01,Right,0
9.02,Right,0
9.03,Right,0
9.04,Right,0
9.05,Left,1
9.06,Right,0
9.07,Right,0
9.08,Left,1
9.09,Left,1
9.1,Right,0
9.11,Left,1
9.12,Left,1
9.13,Left,1
9.14,Right,0
9.15,Left,1
9.16,Left,1
9.17,Left,1
9.18,Left,1
9.19,Left,1
9.2,Left,1
9.21,Right,0
9.22,Right,0
9.23,Left,1
9.24,Left,1
9.25,Right,0
9.26,Right,0
9.27,Left,1
9.28,Left,1
9.29,Right,0
9.3,Right,0
9.31,Left,1
9.32,Right,0
9.33,Left,1
9.34,Left,1
9.35,Left,1
9.36,Right,0
9.37,Left,1
9.38,Left,1
9.39,Right,0
9.4,Left,1
9.41,Right,0
9.42,Left,1
9.43,Right,0
9.44,Left,1
9.45,Left,1
9.46,Right,0
9.47,Right,0
9.48,Left,1
9.49,Right,0
9.5,Left,1
9.51,Left,1
9.52,Right,0
9.53,Right,0
9.54,Left,1
9.55,Left,1
9.56,Left,1
9.57,Left,1
9.58,Right,0
9.59,Right,0
9.6,Left,1
10.01,Right,0
10.02,Right,0
10.03,Right,0
10.04,Right,0
10.05,Right,0
10.06,Right,0
10.07,Left,1
10.08,Left,1
10.09,Right,0
10.1,Right,0
10.11,Right,0
10.12,Right,0
10.13,Right,0
10.14,Left,1
10.15,Left,1
10.16,Left,1
10.17,Right,0
10.18,Left,1
10.19,Right,0
10.2,Left,1
10.21,Right,0
10.22,Left,1
10.23,Left,1
10.24,Left,1
10.25,Right,0
10.26,Right,0
10.27,Left,1
10.28,Left,1
10.29,Left,1
10.3,Right,0
10.31,Left,1
10.32,Right,0
10.33,Left,1
10.34,Right,0
10.35,Left,1
10.36,Right,0
10.37,Right,0
10.38,Left,1
10.39,Right,0
10.4,Left,1
10.41,Left,1
10.42,Right,0
10.43,Left,1
10.44,Left,1
10.45,Left,1
10.46,Left,1
10.47,Right,0
10.48,Right,0
10.49,Right,0
10.5,Right,0
10.51,Right,0
10.52,Right,0
10.53,Left,1
10.54,Right,0
10.55,Right,0
10.56,Right,0
10.57,Right,0
10.58,Left,1
10.59,Left,1
10.6,Left,1
11.01,Left,1
11.02,Right,0
11.03,Right,0
11.04,Left,1
11.05,Left,1
11.06,Right,0
11.07,Right,0
11.08,Right,0
11.09,Left,1
11.1,Left,1
11.11,Right,0
11.12,Right,0
11.13,Left,1
11.14,Right,0
11.15,Right,0
11.16,Left,1
11.17,Right,0
11.18,Right,0
11.19,Left,1
11.2,Left,1
11.21,Right,0
11.22,Right,0
11.23,Right,0
11.24,Right,0
11.25,Right,0
11.26,Left,1
11.27,Right,0
11.28,Right,0
11.29,Right,0
11.3,Left,1
11.31,Right,0
11.32,Right,0
11.33,Left,1
11.34,Left,1
11.35,Right,0
11.36,Left,1
11.37,Left,1
11.38,Left,1
11.39,Left,1
11.4,Left,1
11.41,Right,0
11.42,Left,1
11.43,Right,0
11.44,Right,0
11.45,Left,1
11.46,Left,1
11.47,Right,0
11.48,Left,1
11.49,Right,0
11.5,Left,1
11.51,Left,1
11.52,Left,1
11.53,Right,0
11.54,Left,1
11.55,Right,0
11.56,Left,1
11.57,Right,0
11.58,Left,1
11.59,Right,0
11.6,Right,0
12.01,Left,1
12.02,Right,0
12.03,Right,0
12.04,Left,1
12.05,Left,1
12.06,Right,0
12.07,Right,0
12.08,Left,1
12.09,Right,0
12.1,Right,0
12.11,Left,1
12.12,Right,0
12.13,Left,1
12.14,Right,0
12.15,Right,0
12.16,Left,1
12.17,Right,0
12.18,Left,1
12.19,Left,1
12.2,Left,1
12.21,Right,0
12.22,Right,0
12.23,Right,0
12.24,Right,0
12.25,Right,0
12.26,Left,1
12.27,Right,0
12.28,Right,0
12.29,Right,0
12.3,Left,1
12.31,Right,0
12.32,Left,1
12.33,Left,1
12.34,Right,0
12.35,Right,0
12.36,Left,1
12.37,Left,1
12.38,Right,0
12.39,Left,1
12.4,Left,1
12.41,Left,1
12.42,Left,1
12.43,Left,1
12.44,Left,1
12.45,Right,0
12.46,Right,0
12.47,Left,1
12.48,Left,1
12.49,Right,0
12.5,Right,0
12.51,Left,1
12.52,Left,1
12.53,Left,1
12.54,Left,1
12.55,Left,1
12.56,Left,1
12.57,Left,1
12.58,Right,0
12.59,Left,1
12.6,Left,1
